khl_player_id,first_name,last_name,last_name_normalized,club,position,nation
plr-0001,Евгений,Аликин,аликин,Автомобилист,вратарь,Россия
plr-0002,Джесси,Блэкер,блэкер,Автомобилист,защитник,Казахстан
plr-0003,Ярослав,Бусыгин,бусыгин,Автомобилист,защитник,Россия
plr-0004,Рид,Буше,буше,Автомобилист,нападающий,США
plr-0005,Алексей,Бывальцев,бывальцев,Автомобилист,нападающий,Россия
plr-0006,Кёртис,Волк,волк,Автомобилист,нападающий,Казахстан
plr-0007,Кирилл,Воробьёв,воробьев,Автомобилист,защитник,Россия
plr-0008,Владимир,Галкин,галкин,Автомобилист,вратарь,Россия
plr-0009,Анатолий,Голышев,голышев,Автомобилист,нападающий,Россия
plr-0010,Роман,Горбунов,гоорбунов,Автомобилист,нападающий,Беларусь
plr-0011,Стефан,Да Коста,да коста,Автомобилист,нападающий,Франция
plr-0012,Сергей,Зборовский,зборовский,Автомобилист,защитник,Россия
plr-0013,Артём,Каштанов,каштанов,Автомобилист,нападающий,Россия
plr-0014,Семён,Кизимов,кизимов,Автомобилист,нападающий,Россия
plr-0015,Иван,Коляда,коляда,Автомобилист,вратарь,Россия
plr-0016,Даниил,Малоросиянов,малоросиянов,Автомобилист,защитник,Россия
plr-0017,Брукс,Мэйсек,мэйсек,Автомобилист,нападающий,Канада
plr-0018,Максим,Осипов,осипов,Автомобилист,защитник,Россия
plr-0019,Юрий,Паутов,паутов,Автомобилист,защитник,Россия
plr-0020,Максим,Тарасов,тарасов,Автомобилист,нападающий,Россия
plr-0021,Никита,Трямкин,трямкин,Автомобилист,защитник,Россия
plr-0022,Степан,Хрипунов,хрипунов,Автомобилист,нападающий,Россия
plr-0023,Егор,Черников,черников,Автомобилист,нападающий,Россия
plr-0024,Александр,Шаров,шаров,Автомобилист,нападающий,Россия
plr-0025,Никита,Шашков,шашков,Автомобилист,нападающий,Россия
plr-0026,Дмитрий,Юдин,юдин,Автомобилист,защитник,Россия
plr-0027,Максим,Денежкин,денежкин,Автомобилист,нападающий,Россия
plr-0028,Данил,Романцев,романцев,Автомобилист,нападающий,Россия
plr-0029,Артём,Блажиевский,блажиевский,Авангард,защитник,Россия
plr-0030,Вячеслав,Войнов,войнов,Авангард,защитник,Россия
plr-0031,Александр,Волков,волков,Авангард,нападающий,Россия
plr-0032,Михаил,Гуляев,гуляев,Авангард,защитник,Россия
plr-0033,Марсель,Ибрагимов,ибрагимов,Авангард,защитник,Россия
plr-0034,Иван,Игумнов,игумнов,Авангард,нападающий,Россия
plr-0035,Клим,Костин,костин,Авангард,нападающий,Россия
plr-0036,Михаил,Котляревский,котляревский,Авангард,нападающий,Россия
plr-0037,Максим,Лажуа,лажуа,Авангард,защитник,Канада
plr-0038,Майкл,Маклауд,маклауд,Авангард,нападающий,Канада
plr-0039,Игорь,Мартынов,мартынов,Авангард,нападающий,Беларусь
plr-0040,Андрей,Мишуров,мишуров,Авангард,вратарь,Россия
plr-0041,Константин,Окулов,окулов,Авангард,нападающий,Россия
plr-0042,Василий,Пономарёв,пономарев,Авангард,нападающий,Россия
plr-0043,Эндрю,Потуральски,потуральски,Авангард,нападающий,США
plr-0044,Николай,Прохоркин,прохоркин,Авангард,нападающий,Россия
plr-0045,Дмитрий,Рашевский,рашевский,Авангард,нападающий,Россия
plr-0046,Никита,Серебряков,серебряков,Авангард,вратарь,Россия
plr-0047,Джованни,Фьоре,фьоре,Авангард,нападающий,Канада
plr-0048,Джозеф,Чеккони,чеккони,Авангард,защитник,США
plr-0049,Семён,Чистяков,чистяков,Авангард,защитник,Россия
plr-0050,Дамир,Шарипзянов,шарипзянов,Авангард,защитник,Россия
plr-0051,Наиль,Якупов,якупов,Авангард,нападающий,Россия
